U+1F1EB U+1F1F7	\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7
U+1F1EA U+1F1F8	\xF0\x9F\x87\xAA\xF0\x9F\x87\xB8
U+1F1EE U+1F1F9	\xF0\x9F\x87\xAE\xF0\x9F\x87\xB9
U+1F1FA U+1F1F8	\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8
U+1F1F7 U+1F1FA	\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA
U+1F201	\xF0\x9F\x88\x81
U+1F202	\xF0\x9F\x88\x82
U+1F21A	\xF0\x9F\x88\x9A
U+1F22F	\xF0\x9F\x88\xAF
U+1F232	\xF0\x9F\x88\xB2
U+1F233	\xF0\x9F\x88\xB3
U+1F234	\xF0\x9F\x88\xB4
U+1F235	\xF0\x9F\x88\xB5
U+1F236	\xF0\x9F\x88\xB6
U+1F237	\xF0\x9F\x88\xB7
U+1F238	\xF0\x9F\x88\xB8
U+1F239	\xF0\x9F\x88\xB9
U+1F23A	\xF0\x9F\x88\xBA
U+1F250	\xF0\x9F\x89\x90
U+1F251	\xF0\x9F\x89\x91
U+00A9	\xC2\xA9
U+00AE	\xC2\xAE
U+203C	\xE2\x80\xBC
U+2049	\xE2\x81\x89
U+0038 U+20E3	\x38\xE2\x83\xA3
U+0039 U+20E3	\x39\xE2\x83\xA3
U+0037 U+20E3	\x37\xE2\x83\xA3
U+0036 U+20E3	\x36\xE2\x83\xA3
U+0031 U+20E3	\x31\xE2\x83\xA3
U+0030 U+20E3	\x30\xE2\x83\xA3
U+0032 U+20E3	\x32\xE2\x83\xA3
U+0033 U+20E3	\x33\xE2\x83\xA3
U+0035 U+20E3	\x35\xE2\x83\xA3
U+0034 U+20E3	\x34\xE2\x83\xA3
U+0023 U+20E3	\x23\xE2\x83\xA3
U+2122	\xE2\x84\xA2
U+2139	\xE2\x84\xB9
U+2194	\xE2\x86\x94
U+2195	\xE2\x86\x95
U+2196	\xE2\x86\x96
U+2197	\xE2\x86\x97
U+2198	\xE2\x86\x98
U+2199	\xE2\x86\x99
U+21A9	\xE2\x86\xA9
U+21AA	\xE2\x86\xAA
U+231A	\xE2\x8C\x9A
U+231B	\xE2\x8C\x9B
U+23E9	\xE2\x8F\xA9
U+23EA	\xE2\x8F\xAA
U+23EB	\xE2\x8F\xAB
U+23EC	\xE2\x8F\xAC
U+23F0	\xE2\x8F\xB0
U+23F3	\xE2\x8F\xB3
U+25AA	\xE2\x96\xAA
U+25AB	\xE2\x96\xAB
U+25B6	\xE2\x96\xB6
U+25C0	\xE2\x97\x80
U+25FB	\xE2\x97\xBB
U+25FC	\xE2\x97\xBC
U+25FD	\xE2\x97\xBD
U+25FE	\xE2\x97\xBE
U+2600	\xE2\x98\x80
U+2601	\xE2\x98\x81
U+260E	\xE2\x98\x8E
U+2611	\xE2\x98\x91
U+2614	\xE2\x98\x94
U+2615	\xE2\x98\x95
U+261D	\xE2\x98\x9D
U+263A	\xE2\x98\xBA
U+2648	\xE2\x99\x88
U+2649	\xE2\x99\x89
U+264A	\xE2\x99\x8A
U+264B	\xE2\x99\x8B
U+264C	\xE2\x99\x8C
U+264D	\xE2\x99\x8D
U+264E	\xE2\x99\x8E
U+264F	\xE2\x99\x8F
U+2650	\xE2\x99\x90
U+2651	\xE2\x99\x91
U+2652	\xE2\x99\x92
U+2653	\xE2\x99\x93
U+2660	\xE2\x99\xA0
U+2663	\xE2\x99\xA3
U+2665	\xE2\x99\xA5
U+2666	\xE2\x99\xA6
U+2668	\xE2\x99\xA8
U+267B	\xE2\x99\xBB
U+267F	\xE2\x99\xBF
U+2693	\xE2\x9A\x93
U+26A0	\xE2\x9A\xA0
U+26A1	\xE2\x9A\xA1
U+26AA	\xE2\x9A\xAA
U+26AB	\xE2\x9A\xAB
U+26BD	\xE2\x9A\xBD
U+26BE	\xE2\x9A\xBE
U+26C4	\xE2\x9B\x84
U+26C5	\xE2\x9B\x85
U+26CE	\xE2\x9B\x8E
U+26D4	\xE2\x9B\x94
U+26EA	\xE2\x9B\xAA
U+26F2	\xE2\x9B\xB2
U+26F3	\xE2\x9B\xB3
U+26F5	\xE2\x9B\xB5
U+26FA	\xE2\x9B\xBA
U+26FD	\xE2\x9B\xBD
U+2934	\xE2\xA4\xB4
U+2935	\xE2\xA4\xB5
U+2B05	\xE2\xAC\x85
U+2B06	\xE2\xAC\x86
U+2B07	\xE2\xAC\x87
U+2B1B	\xE2\xAC\x9B
U+2B1C	\xE2\xAC\x9C
U+2B50	\xE2\xAD\x90
U+2B55	\xE2\xAD\x95
U+3030	\xE3\x80\xB0
U+303D	\xE3\x80\xBD
U+3297	\xE3\x8A\x97
U+3299	\xE3\x8A\x99
U+1F004	\xF0\x9F\x80\x84
U+1F0CF	\xF0\x9F\x83\x8F
U+1F300	\xF0\x9F\x8C\x80
U+1F301	\xF0\x9F\x8C\x81
U+1F302	\xF0\x9F\x8C\x82
U+1F303	\xF0\x9F\x8C\x83
U+1F304	\xF0\x9F\x8C\x84
U+1F305	\xF0\x9F\x8C\x85
U+1F306	\xF0\x9F\x8C\x86
U+1F307	\xF0\x9F\x8C\x87
U+1F308	\xF0\x9F\x8C\x88
U+1F309	\xF0\x9F\x8C\x89
U+1F30A	\xF0\x9F\x8C\x8A
U+1F30B	\xF0\x9F\x8C\x8B
U+1F30C	\xF0\x9F\x8C\x8C
U+1F30F	\xF0\x9F\x8C\x8F
U+1F311	\xF0\x9F\x8C\x91
U+1F313	\xF0\x9F\x8C\x93
U+1F314	\xF0\x9F\x8C\x94
U+1F315	\xF0\x9F\x8C\x95
U+1F319	\xF0\x9F\x8C\x99
U+1F31B	\xF0\x9F\x8C\x9B
U+1F31F	\xF0\x9F\x8C\x9F
U+1F320	\xF0\x9F\x8C\xA0
U+1F330	\xF0\x9F\x8C\xB0
U+1F331	\xF0\x9F\x8C\xB1
U+1F334	\xF0\x9F\x8C\xB4
U+1F335	\xF0\x9F\x8C\xB5
U+1F337	\xF0\x9F\x8C\xB7
U+1F338	\xF0\x9F\x8C\xB8
U+1F339	\xF0\x9F\x8C\xB9
U+1F33A	\xF0\x9F\x8C\xBA
U+1F33B	\xF0\x9F\x8C\xBB
U+1F33C	\xF0\x9F\x8C\xBC
U+1F33D	\xF0\x9F\x8C\xBD
U+1F33E	\xF0\x9F\x8C\xBE
U+1F33F	\xF0\x9F\x8C\xBF
U+1F340	\xF0\x9F\x8D\x80
U+1F341	\xF0\x9F\x8D\x81
U+1F342	\xF0\x9F\x8D\x82
U+1F343	\xF0\x9F\x8D\x83
U+1F344	\xF0\x9F\x8D\x84
U+1F345	\xF0\x9F\x8D\x85
U+1F346	\xF0\x9F\x8D\x86
U+1F347	\xF0\x9F\x8D\x87
U+1F348	\xF0\x9F\x8D\x88
U+1F349	\xF0\x9F\x8D\x89
U+1F34A	\xF0\x9F\x8D\x8A
U+1F34C	\xF0\x9F\x8D\x8C
U+1F34D	\xF0\x9F\x8D\x8D
U+1F34E	\xF0\x9F\x8D\x8E
U+1F34F	\xF0\x9F\x8D\x8F
